"date","inst","party","value","color"
2015-09-11,"FGW","cdu",42,"#373737"
2015-08-21,"FGW","cdu",42,"#373737"
2015-07-24,"FGW","cdu",41,"#373737"
2015-07-03,"FGW","cdu",41,"#373737"
2015-06-12,"FGW","cdu",41,"#373737"
2015-05-22,"FGW","cdu",40,"#373737"
2015-04-17,"FGW","cdu",41,"#373737"
2015-03-27,"FGW","cdu",41,"#373737"
2015-03-13,"FGW","cdu",43,"#373737"
2015-02-27,"FGW","cdu",41,"#373737"
2015-01-30,"FGW","cdu",41,"#373737"
2015-01-16,"FGW","cdu",42,"#373737"
2014-12-12,"FGW","cdu",42,"#373737"
2014-11-28,"FGW","cdu",41,"#373737"
2014-11-14,"FGW","cdu",41,"#373737"
2014-10-24,"FGW","cdu",41,"#373737"
2014-10-10,"FGW","cdu",41,"#373737"
2014-09-26,"FGW","cdu",41,"#373737"
2014-09-05,"FGW","cdu",42,"#373737"
2014-08-22,"FGW","cdu",41,"#373737"
2014-07-18,"FGW","cdu",41,"#373737"
2014-06-27,"FGW","cdu",39,"#373737"
2014-06-05,"FGW","cdu",39,"#373737"
2014-05-09,"FGW","cdu",40,"#373737"
2014-04-11,"FGW","cdu",41,"#373737"
2014-03-28,"FGW","cdu",41,"#373737"
2014-03-14,"FGW","cdu",41,"#373737"
2014-02-21,"FGW","cdu",43,"#373737"
2014-01-31,"FGW","cdu",43,"#373737"
2014-01-17,"FGW","cdu",43,"#373737"
2013-12-13,"FGW","cdu",42,"#373737"
2013-11-29,"FGW","cdu",42,"#373737"
2013-11-08,"FGW","cdu",42,"#373737"
2013-10-18,"FGW","cdu",42,"#373737"
2013-09-27,"FGW","cdu",43,"#373737"
2017-06-01,"GMS","cdu",39,"#373737"
2017-05-04,"GMS","cdu",36,"#373737"
2017-03-23,"GMS","cdu",34,"#373737"
2017-02-09,"GMS","cdu",33,"#373737"
2017-01-05,"GMS","cdu",36,"#373737"
2016-11-03,"GMS","cdu",33,"#373737"
2016-10-13,"GMS","cdu",34,"#373737"
2016-09-15,"GMS","cdu",33,"#373737"
2016-07-14,"GMS","cdu",34,"#373737"
2016-06-02,"GMS","cdu",32,"#373737"
2016-04-21,"GMS","cdu",35,"#373737"
2016-03-17,"GMS","cdu",36,"#373737"
2016-02-18,"GMS","cdu",37,"#373737"
2016-01-04,"GMS","cdu",39,"#373737"
